vk_id,friends_count,photo_count,likes_total,average_likes,groups_count,average_member,male_ratio,female_ratio,unknown_ratio,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,pe_0,pe_1,pe_2,pe_3,pagerank,degree,clustering,betweenness
40919819,0.62286687,0.9897611,0.93174064,0.3651877,0.9897611,0.9522184,0.30375427,0.7235495,0.0,0.087030716,0.088737205,0.052901022,0.80375427,0.17576791,0.54864097,1.3536892,0.53023684,0.51007074,1.5408633,1.3930616,-1.5594593,3.2949007
46315893,0.25938568,0.66382253,0.7883959,0.8668942,0.34129694,0.9556314,0.17406143,0.85324234,0.0,0.40784982,0.07167236,0.23720136,0.71672356,0.32593855,0.26855376,1.4286796,-2.0738888,0.3243341,-0.7640872,-0.75551754,0.6887042,-0.8242343
43805564,0.3208191,0.556314,0.45392492,0.49146757,0.15017065,0.85324234,0.8122867,0.21501707,0.0,0.8634812,0.85153586,0.86177474,0.010238908,0.83788395,1.7814524,-0.788426,-0.12776357,-0.2994764,-0.20521322,-0.20984665,0.10983214,-0.47397032
48351259,0.41638225,0.25255972,0.50341296,0.96245736,0.5767918,0.7303754,0.3208191,0.7064846,0.0,0.43515357,0.40784982,0.1109215,0.3651877,0.48122868,-0.6308635,0.0928601,-0.6547514,0.6826114,0.89980924,0.89854735,-0.2804971,0.86317766
51565691,0.778157,0.8430034,0.9522184,0.91808873,0.16211604,0.9590444,0.51194537,0.5153584,0.0,0.43515357,0.71843004,0.13139932,0.6877133,0.90102386,0.13869113,0.9808294,-1.7119681,1.02838,-1.0127413,-1.1647707,0.8045846,0.15437548
54144956,0.7389079,0.9453925,0.9556314,0.75767916,0.32593855,0.49146757,0.19453925,0.8327645,0.0,0.5870307,0.6109215,0.82935154,0.5699659,0.5716724,-0.99046385,-0.29279515,-0.3566491,0.9861003,-0.19358806,-0.12458558,1.2705994,-0.7681108
47829183,0.75085324,0.9590444,0.9658703,0.74061435,0.43856657,0.8088737,0.22866894,0.7986348,0.0,0.15358362,0.22696246,0.48293516,0.71672356,0.48122868,0.7077741,1.3427066,-0.9484583,0.084041774,-0.31882027,-0.32921216,-0.21627992,-0.50263053
57415818,0.5460751,0.21501707,0.29180887,0.6023891,0.32593855,0.37883958,0.040955633,0.98634815,0.0,0.037542664,0.8805461,0.78156996,0.6877133,0.049488056,-0.8652064,-0.031507798,0.04735267,0.57379943,-1.2230893,-1.1818229,1.1427466,-0.9476758
56317579,0.26962456,0.7679181,0.69283277,0.5631399,0.2764505,0.44027305,0.10409556,0.92662114,0.0,0.015358361,0.28498295,0.5546075,1.0,0.28668943,0.8549219,1.0537509,2.281263,-0.5489348,-1.6037995,-1.659285,-1.1107489,-0.8469959
58387133,0.35494882,0.0,0.0,0.0,0.6996587,0.38566554,0.37542662,0.6348123,0.99658704,1.0,1.0,1.0,1.0,1.0,-1.0589718,0.0048821685,-0.17381178,0.9607958,0.3508009,0.36992866,0.09500598,-0.05948385
57560628,0.36177474,0.25255972,0.31911263,0.52047783,0.04778157,0.023890786,0.50511944,0.5221843,0.0,0.18771331,0.6109215,0.5546075,0.3651877,0.44197953,-0.6409029,-0.2180025,0.15613727,0.3982723,-2.1611664,-2.1537993,1.4792038,-1.0091529
